,User,Time,Location,Description
195,Rifadh Simshek ⚡,2019-10-23 02:46:58+00:00,,"Caffeinated reader, probably listening to a podcast.

Made in 🇱🇰. #Culé. ❤️☕️"
196,Raunsky,2022-07-24 17:49:37+00:00,,Back up account for rshigsby
197,Q3 ADVOCACY,2012-07-25 10:07:09+00:00,France,Plateforme SaaS d'amplification de l’engagement client #viral #communauté #Q/R #avis #comarketing #satisfaction
198,Efinite,2022-09-13 05:50:57+00:00,,A solo traveler floats within the infinite world
199,Patrizia Becker,2011-03-08 14:38:03+00:00,"Stuttgart, Deutschland","https://t.co/wgmGrkxfEU  #Kundenbegeisterung# #Customer Service #Persönlichkeitsentwicklung #Image #Kundengewinnung 
Folgen, RT ist nicht gleich Beifall."
200,Patrizia Becker,2011-03-08 14:38:03+00:00,"Stuttgart, Deutschland","https://t.co/wgmGrkxfEU  #Kundenbegeisterung# #Customer Service #Persönlichkeitsentwicklung #Image #Kundengewinnung 
Folgen, RT ist nicht gleich Beifall."
201,Meher Sehgal,2013-03-18 19:08:32+00:00,"Tallinn, Estonia",Growth PM at Pipedrive 🚀| A Reluctant Optimist 🫠
202,Victor Brazon,2008-10-30 15:21:04+00:00,"ÜT: 29.761314,-95.624996","Hope for the best and prepare for the worst. 
@acuriousmate. 
@krillenergy. 
https://t.co/7CM1oV1w0q"
203,Twin,2021-10-29 21:23:00+00:00,,
204,Dean Sale,2009-10-03 11:12:17+00:00,,Blowing out someone else's candle won't make yours shine brighter
205,Nirmeet Kacheria,2009-06-22 19:49:11+00:00,,"Curator, Global Shapers Ahmedabad & Director, Guardian Glass Ind. Pvt. Ltd.
Founder, KalaBhan"
206,Anselmo Rocha,2009-05-17 22:53:54+00:00,"Distrito Federal, Brasil",Everything Everywhere All at Once.
207,"Bilal (💙,🧡)",2020-06-07 16:57:46+00:00,"Solingen, Deutschland",Bilal - 🇩🇪 | Crypto Trader | #Bitcoin & Altcoins Investor | HOLD $BTC $ETH $DOT $ADA |
208,Alex Atherton,2013-02-16 17:04:35+00:00,"London, England",Leadership Coach & Mentor | Team Coach | Speaker | Gen Z research
209,Twd,2009-08-20 00:05:10+00:00,,
210,Michael Berger,2022-09-10 01:37:19+00:00,,
211,Carla Cassanello,2008-12-05 17:44:26+00:00,"Asuncion, Paraguay","La realidad es que el vaso siempre esta medio lleno. Mamá, autista y amante del verano. Orgullosamente parte de @SheWorksCloud @feiparpy y @MQCpy"
212,Jonathan Pacheco,2011-06-22 21:56:02+00:00,,
213,Valon Canhasi,2009-06-03 23:12:28+00:00,"Prishtina, Kosovo",CEO @Hallakate | @3go_trego Podcast Host | Co-Founder @KeiretsuSEE | Chair of Board @STIKK_KS |  I'do #Digital #Media #MarTech | #IVLP @StateIVLP Alumni 🇺🇸
214,Nexus Headhunting Limited,2022-07-09 22:20:31+00:00,,Your go-to recruitment and consulting partner that find you the right talent for your company.
215,estahistoriadejonnyfuracao,2022-04-28 00:02:14+00:00,,"Soça de iphone, moro no leblon, gosto de lacrar. E crio verdade para satisfazer meus interesses ideológicos. A lógica e bom senso, isso é o de menos."
216,Sales Sciences,2022-09-07 22:18:28+00:00,,"Eu ajudo a transformar a vida das pessoas através das vendas, assim como a minha foi transformada."
217,Slender James,2017-02-05 15:29:59+00:00,Mahwah NJ,"former guy, current dude"
218,Decuple Tech,2019-06-07 16:52:52+00:00,NAIROBI,We help brands leverage technology to grow sustainably both locally and internationally. #Ecommerce #Blockchain #Web3 #DigitaMarketing| Founder @Lydiakm_2000
219,Jalal Hannan,2022-05-03 14:47:46+00:00,,Solutions Architect @ HUMAN Protocol
220,Philippe Barbosa,2008-11-16 02:49:14+00:00,Paris,Vidéaste & photographe freelance spécialisé dans la production de contenus pour les entreprises !
221,"Joseph S. Kahn, President of Hum JAM 🔥",2007-09-03 17:04:47+00:00,Subscribe to my VIP LIST!👇,Digital Marketing Strategist and SEO Growth Specialist with over 25 Years of Experience and share successful Harmonic RANKING Strategies here: https://t.co/2EYeVVo0IQ
222,Juliano Tannous,2021-10-04 22:33:21+00:00,,
223,Ortto,2021-11-12 05:43:07+00:00,"Sydney, Australia","The #1 customer journey and data platform. Your customer data, messaging and analytics working together. 🤝"
224,ROI Cowboy,2020-12-30 09:59:01+00:00,,"""You only need to get rich once"" I Tweets are opinions only."
225,Dr. Marco A Valenzo,2010-02-20 20:14:37+00:00,"Morelia, Michoacán,México","Dr. en C. en Negocios Internacionales, miembro (SNI). Nivel 1. Áreas de interés: Competitividad, Supply Chain y Empresa Familiar."
226,CommerceConnect,2022-09-02 14:32:37+00:00,Pittsburgh,"CommerceConnect is an e-commerce and inbound marketing company. We design, develop & integrate solutions that enable businesses to connect with their customers."
227,Xavier Valentino,2022-09-03 08:25:22+00:00,,Highlevel Expert
228,Saurav,2015-11-13 08:28:48+00:00,"Bengaluru, India",Researcher | Engineering @Datacore | Community @fnplusofficial | Technophile |
229,OLEKSIY KURYLIAK,2009-07-13 00:07:49+00:00,,🇺🇦 Digital Strategist & #Startups Advisor. Founder of @RioksMarketing. #StandWithUkraine
230,Oscar Campos,2021-12-21 04:26:36+00:00,,
231,robertbatdima,2022-06-09 02:25:41+00:00,,"XPC; accounting sciences; Metodista; American and Brazilian;
taste of nature; cool people"
232,Lee James Carey,2009-12-08 18:49:36+00:00,"Ottawa, Canada","LEE -Leading Edge Entrepreneur
Credentials
10,000 hrs tech design
20,000 hrs Ops management
30,000 hrs PM
Approaching 10,000 hrs B2B sales management"
233,Bossut Mathilde,2019-03-07 11:04:45+00:00,Tournai,Business Developer @ Entreprendre.Wapi #Création #Développement #Entreprendre
234,Maksim Chepel,2022-09-01 09:21:31+00:00,,
235,Nikkie,2022-06-29 13:41:17+00:00,"Nottingham, England",Just beginning a career in SEO ✨
236,The Crumbs Project,2011-04-15 08:30:07+00:00,"Bournemouth, Dorset","Disability training charity supporting adults with learning disabilities or mental health issues to learn catering, employment and independence skills."
237,Riley Hennigh,2020-01-13 21:00:24+00:00,Oklahoma,Learning how to build businesses through product design & software / Product Designer @headwayio
238,Roberto,2020-03-11 02:41:04+00:00,,
239,3Studio,2022-08-21 13:44:00+00:00,France,Web / Growth Hacking / Sales
240,AlterEkho,2009-04-22 07:21:31+00:00,,
241,Harold Ader,2022-02-16 11:43:37+00:00,,
242,Ramón Vergara 🚀,2022-08-26 17:40:53+00:00,Chile,"Emprendedor 🇨🇱| @Farawayhub ✈️🌎| #Buildinpublic | Full-time Learner | New Twitter 🐦| 🔎 Nuevas Oportunidades 🤝|
📖📝 Contenido | Idiomas 🇺🇲🇪🇸"
243,AL_CryptoTrader,2021-04-28 09:54:00+00:00,,Crypto Market - Graphical and Fundamental Analysis #Doge #Tesla #Shibainu #BTC #Thothemoon #cryptocurrency  #Babydogecoin  #NFT
244,MUJAHID GIRMA TERFA🇪🇹,2022-08-27 13:44:28+00:00,,NOTHING IS IMPOSSIBLE FOR ALLAAH
245,Sales Circle,2022-08-27 14:43:47+00:00,,der Sales & Business Podcast
246,Joshua Rivera,2009-04-10 13:12:44+00:00,"Union, NJ",Newbie Investor | SMB |Owner of Car Wash| Life Long Learner| https://t.co/ORtqztDowC
247,Shawn Simon,2021-11-07 23:16:03+00:00,,
248,Andy Jakopec,2007-03-21 12:12:12+00:00,Switzerland,
249,James Stoker,2007-05-29 12:25:42+00:00,"Windsor, U.K.",International technology marketing leader
250,Joe Karen,2022-02-11 05:08:45+00:00,"Pineville, NC, USA",You don't need much experience in the tech field to have a good tech idea. Joe. k - A tech journalist covering trends in technology as they relate to business.
251,Content & Copy writer| Pooja Uniyal |,2020-04-04 10:54:25+00:00,"Bengaluru, India","All about Writing, Freelancing, Content Marketing and life.  
Instagram- https://t.co/V3K8MZfPmk…"
252,Paula Bolton,2017-09-24 22:15:33+00:00,"England, United Kingdom",Director @credit_james #entrepreneur #NLP #BusinessCoach
253,involve.ai,2015-01-08 05:17:23+00:00,Los Angeles California,"👩🏻‍💻 Early Warning System
👋 Goodbye Churn, Hello Growth
🚀 Create a customer-centric world through data"
254,Whalebone,2016-05-30 22:07:26+00:00,"Brno, Czech republic",We provide millions of everyday internet users unyielding protection without the need for them to download anything.
255,SHARKB8,2009-10-23 18:09:22+00:00,Canaduh,
256,Voltine ,2017-11-19 23:22:41+00:00,"New York, NY",the don
257,Content & Concept,2022-02-28 10:03:15+00:00,"Chernobyl, Ukraine","Design agency:
We create commercial content for sites and other corporate publications.
Located at The Vladimir Lenin Nuclear Power Plant
Pripyat, 07270 Ukraine"
258,Startup Juntos,2022-06-29 02:53:46+00:00,"São Paulo, Brasil","Propósito: Viabilizar a atividade comercial de forma remota - Conectividade, segurança, eficiência e produtividade!"
259,Transrepúdio,2009-04-22 14:47:50+00:00,Brasil,
260,Neptik,2022-08-22 12:42:10+00:00,,Your B2B Lead Generation Partner - Dedicated to Fuelling Sales Pipelines!
261,Dunk Media,2022-08-03 11:37:36+00:00,Zürich Switzerland,We slam DUNK your targeted e-commerce clients
262,hthompson58@gmail.com,2010-10-22 12:03:54+00:00,Cape Town (Work remotely),"Head of Marketing, Senior VP of Marketing, B2B Marketer; Passionate about Marketing, Martech, Growth Marketing, fitness, coffee, my family. :)"
263,Marcin Sulich,2015-05-01 11:12:00+00:00,,
264,Michael Williams | Atlanta Real Estate Agent,2022-06-18 22:15:51+00:00,"Atlanta, GA","Metro Atlanta REALTOR® - Keller Knapp Realty
404-654-0929
Michael@MichaelSellsATL.com

Tweets include: real estate, investing, baseball, the occasional cat"
265,Sebastiaan Douma,2022-08-22 10:59:10+00:00,,
266,Rodolfo Partida del real,2022-04-07 07:43:34+00:00,,Lo cencilloamor al proguimo
267,M H,2011-08-15 06:33:32+00:00,Helsinki,The opinions expressed are my own and may be subject to change at any time. The comments should not be construed as a recommendation.
268,Tony 🇦🇷,2014-10-16 16:49:43+00:00,Buenos Aires,"De la cuña hasta el cajon, te voy a seguir"
269,Steve Karr,2009-03-11 04:55:57+00:00,Just ahead on the left,"A sardonic realist & former Internet Technologies SME

A '90s era .com guy - Web Developer & Entrepreneur"
270,Avraham merchavia,2018-11-07 06:25:20+00:00,ישראל,יזם.
271,SmartSender.io,2018-08-16 01:15:58+00:00,"Tallinn, Estonia",We Automate Marketing
272,Antje Köppen,2008-11-25 11:47:28+00:00,"Berlin, Deutschland",
273,user,2010-06-30 18:09:08+00:00,"Accra, Ghana",On a constant mission to grow. #Tech × #PM
274,YourMindinBloom,2013-11-04 03:56:28+00:00,Planet Earth,https://t.co/T7VzKsd7dU
275,steeeeephen™,2009-02-06 03:11:06+00:00,"Phoenix, AZ",believe in the future https://t.co/OAIbuHDhf3
276,juan ignacio ugarte,2009-05-26 02:25:52+00:00,,"No levantes la voz, mejora tu argumento"
277,Joe Hanger,2022-07-21 02:27:39+00:00,"Zionsville, IN","Business bucket list chaser. Doer. Tweets about startups, SaaS, and business principles."
278,Phil Young,2012-02-02 03:05:05+00:00,,"Self-made Thousandaire.  Professional Amateur.  Admirer of Fine Pelts. I have Warning Track Power. Veteran, 18C30W3. De Oppresso Liber."
279,brê,2013-01-13 19:53:57+00:00,jb follow's. (she/her),"you are all the colors in one, at full brightness."
280,carlos guerreiro,2009-06-30 19:23:00+00:00,Lisbon,"Business Networker, helping connecting the dots... enthusiast about so many things... living by heart... #becausedatamatters #dataquality #nanoinfluencer"
281,Marcos Muíño,2009-04-26 19:31:59+00:00,A Coruña,Aroa & Icía dad. CoFounder at https://t.co/4NWmI67ZZv 🤖 & https://t.co/n42d3cEJZb 👨‍💻 Adventure race addict 🧭🏃🚵🚣🧗
282,YepCode,2021-05-10 20:42:41+00:00,"A Coruña, Spain","The enterprise-ready #automation and #integration SaaS based on #JavaScript

⚡️ Start connecting your services and #APIs in a flash 👉🏻 https://t.co/KYmW1nEwVd"
283,Emil,2017-11-17 13:40:18+00:00,,
284,Gerty Tsinnie,2020-03-31 16:24:43+00:00,"Sanders, AZ",Building a technology consulting company catered to SMB. Laying my foundation and building connections along the way. Perpetual garden gnome
285,creativethrift2,2012-12-17 04:09:00+00:00,"Nevada, USA",being creative is a way to stay thrifty. Love spaghetti and air hockey.  2022 here we go!
286,#NejTillNATO!!,2011-11-10 23:36:14+00:00,"Santiago, Chile","Siempre voy por la izquierda, 1 hija regalona, colocolino de ♥."
287,Karan,2021-01-20 02:12:51+00:00,United States,"Finance Strategy | Tech enthusiast - Searching for trends in Cap Mkts/Tech, seamless product design/user experience and excited for ESG to mainstream"
288,Marcin Karnowski,2009-06-24 02:50:15+00:00,,
289,Alan Burrola,2021-10-24 00:11:16+00:00,"Hermosillo, Sonora","Apasionado por la tecnología y el mkt digital, autodidacta. Soy una persona amigable, responsable y enfocada en lograr objetivos."
290,UEY,2010-04-19 09:47:35+00:00,,
291,Ines,2021-03-20 18:35:04+00:00,"Lisbon, Portugal",
292,M&A Champ,2022-08-08 16:19:23+00:00,,Follow to learn about technology through the lens of M&A. We cover acquisitions past and present. No deal too big or too small. DM for us to Tweet your deal!
293,monkey 🙈,2022-06-30 18:21:16+00:00,India,"Logistics Professional | Business Owner, #Solopreneur | Interests in Science, Supply Chains, Business & Economics | Recovering political junkie"
294,Unnamed93,2014-07-10 20:50:21+00:00,,#Bitcoin ⚡
295,Alan Cyan,2022-08-11 10:35:10+00:00,,Cyanview team member
296,Derek Murrell,2020-06-02 15:53:58+00:00,"Texas, USA",🇺🇸 Marine Vet | Former LEO | #BusinessOwner | Father | Husband | love real estate investing and finance | #Bankonomics
297,Day Translations,2009-02-07 03:28:50+00:00,"New York, NY","#Translations #Interpreting #LocalizationServices
We ❤️ languages! 
👍 Get 5% off now! → https://t.co/1ijne1jY0h or 1-800-969-6853"
298,"Ginja Ninja (💙,🧡)",2014-05-26 15:28:04+00:00,,
299,Mariam Khonelidze,2022-08-10 09:58:59+00:00,Georgia,
300,Victor Krusenstrahle,2020-08-19 21:15:16+00:00,,
301,jpatrickverizon.net@,2017-09-23 19:00:17+00:00,USA,"Love is I and Hi way in life Jah, provide for is people across the globe Selassie Jonas / Patrick A Jonas  https://t.co/Lnv68YpwbK"
302,T N,2010-05-25 14:39:26+00:00,東京都,"弁護士なう。
新第63期"
303,Макс иди нахуй,2009-02-14 00:37:11+00:00,рефлекторий,городской невротик
304,...,2011-12-08 05:16:10+00:00,"Phoenix, AZ",...
305,PARCHUN-E,2021-08-08 08:48:57+00:00,"Dilshad Garden, Delhi","""PARCHUN-E"" is the brand name of Clairene Enterprises in the field of e-commerce marketplace with over 1000+ product under 50+ categories."
306,Esther,2019-09-08 09:55:39+00:00,Dubai UAE,🥑 DevRel @chakra_ui 💼 Freelance Coach building @thefreelancehq
307,Christian Engdahl,2009-04-06 18:33:11+00:00,"Halmstad, Sweden",
308,Ben 🌻🍉,2022-02-24 20:18:43+00:00,"Langley, British Columbia","And you will know the truth, and the truth will set you free - John 8:32 Volunteer @UkraineAidOps Currently hiding under Putin’s desk, waiting to strike. #Fella"
309,theMechanic 🌎🤝🇺🇦,2010-02-19 11:11:40+00:00,"9’N’1E’01’Langley,Virginia📌",I know a very cool #spacehost 🌎🔈 @MriyaReport 👈
310,Basil Sayeedi,2010-07-12 09:41:43+00:00,"Barka, Oman",live & let live.. Respect humanity
311,Raun Shigsby,2022-03-21 20:28:18+00:00,,Charles Bukowski was my Dad.
312,M-LFC,2017-06-21 22:23:11+00:00,,#LFC❤️
313,Martin Hanousek 🇨🇿,2015-03-30 13:07:55+00:00,Czech Republic,
314,Petr Akachuku,2014-10-21 23:13:07+00:00,lagos state Nigeria,"Self employed. Deals on cosmetics and other beauty care products. Love GOD, Love Israel!"
315,mpdelite,2008-08-01 21:43:45+00:00,"Durham, NC","Marketing & Communications Leader. Interested in art, music, literature, basketball, design, fancy cocktails, and terrariums."
316,d'Orléans McCormick-Livingstone,2020-06-11 09:26:14+00:00,,"i worked for CIA

Judah son of Jesus
.
.
.
.
Capitienne Valóis d'Orléans"
317,Willzzzz,2022-08-03 10:33:43+00:00,,
318,Eli Zehavi,2015-09-30 18:56:51+00:00,,"I'm passionate about open-source, education, privacy & solving real world problems"
319,Carolina Ruiz,2022-01-17 01:20:58+00:00,,🎯Automation Expert🚀| Official partner on Make (Integromat)| Zapier | E-commerce | Marketing Automation | CRM
320,Artur Decker,2020-04-20 20:06:37+00:00,,Thats totally true.
321,Filbert Jose,2022-06-16 19:41:25+00:00,,
322,Guy Fallows,2016-01-22 08:36:39+00:00,"Surbiton, Surrey, England","Husband, father and would be rock legend. Principal of @fallows_co accountants and business advisors celebrating 25 years in business in 2022."
323,gourav manchanda,2011-10-15 09:23:23+00:00,"Chandigarh, India",Product Manager | Building @crove_app 🚀
324,Freddie Argent,2022-04-14 15:04:05+00:00,,Helping @Cledara help companies with their SaaS stacks
325,Nikesh,2009-04-14 11:57:45+00:00,London,Helping build @cledara
326,Aldo Vicuña Amaya,2013-09-28 06:09:47+00:00,"Lima, Perú","Economista especializado en growth marketing, ventas B2B y tecnologías comerciales. Fundador y CEO de Venti - Estrategia CRM."
327,🗽黑咖啡 Mr.Espresso☕️,2016-01-28 21:16:48+00:00,Australia,A critical thinker with an ever-curious free mind.
328,Harish,2020-03-23 15:48:40+00:00,,Software engineer and a Gopher
329,Marketing4eCommerce,2012-08-31 07:45:39+00:00,"España,México,Colombia,Chile","Hablamos de #Marketing, #eCommerce, startups, eventos y ¡mucho más! 🚀

🇲🇽 @mkt4eCommerceMX 
🇨🇴 @mkt4eCommerceCO
🇨🇱 @mkt4eCommerceCL

⭐We Are @VIKO"
330,James Hanni,2011-05-08 04:12:55+00:00,,
331,Ede Radnai,2022-03-26 13:58:22+00:00,"São Paulo, Brasil","Objetivo do dia: Ser uma pessoa melhor, não perfeito, apenas melhor que ontem!"
332,LimitworX Digital,2022-07-30 09:14:11+00:00,,Revolutionize Your Online Business.  📍Based in Johannesburg  📱Social Media Marketing  📧 Email Marketing  🚀 Google Analytics & SEO 🖥 Web Design
333,Nicolas Martin,2017-03-10 07:48:43+00:00,"Paris, France","🤖  Marketing Automation & Lead Master chez @Simplebo_Team 
💡  Expert en #CRM #Nurturing #SEO 
🏅 @HubSpot partner certified"
334,Hoy Vende Más,2022-07-22 04:54:12+00:00,México,"Somos una agencia certificada en Pipedrive para la implementacion, capacitación, migración y reorganización de la plataforma, los mejores en implementaciones."
335,takuma,2018-06-05 08:39:55+00:00,福島 会津若松市,
336,Bruno Santana,2012-07-25 14:22:49+00:00,São Paulo,"Engraçado, Antipático, Arrogante, Alegre, Fiel."
337,Humberto Sarmiento G,2010-03-31 19:29:09+00:00,"Bogotá, D.C., Colombia","#PropTech | #FinTech | 🚀Acceso a servicios financieros digitales para todos.
#FinanzasPersonales
#SaludFinanciera

Opiniones personales."
338,Filip Baturan,2019-01-09 02:30:18+00:00,,"Exploring crypto, identifying problems, and providing solutions with TxZero"
339,Cristopher López E.,2009-07-15 17:14:14+00:00,"Santiago, Chile",Audio Engineer / Producer / SCL
340,Surfe (ex-Leadjet),2020-05-07 12:54:46+00:00,Paris,"Surfe (ex-Leadjet) makes your CRM accessible from anywhere, allowing you to sell everywhere 🏄🏼‍♂️"
341,Anastasiia Mashchuk,2022-07-25 13:27:36+00:00,Ukraine,"Helping companies educate their teams quickly through bite-sized learning 

Work at @get_headway 

#bitesize, #corporatelearning, and #EdTech"
342,Janet Lee,2022-07-25 10:49:29+00:00,,Passionate about Business Software
343,Jenna Fordham,2022-01-05 06:17:54+00:00,,
344,Fábio Simões,2019-05-21 17:55:33+00:00,,
345,TripleA Payments,2022-03-04 15:41:47+00:00,worldwide,"🌐 Global multichain rewarding payment gateway
★ Register for free ★
★ Refer merchants and earn $1 for every $1000 they process in crypto ★"
346,Brooks Derrick,2009-03-27 20:09:51+00:00,"Fountain Inn, SC","husband | father | injury lawyer at https://t.co/vEPTN6WhjZ | cook | geek | host of a lawyer, his friends, and food 👇🏽"
347,Jorge Ramirez,2018-08-22 14:03:58+00:00,"Distrito Federal, México",
348,Siddhesh ಸಿದ್ಧೇಶ್ Shinde ಶಿಂಧೆ,2015-10-12 06:56:23+00:00,,"स्वताला शोधण्याचा प्रवास, हेच माझे जीवन.. 
काही सांगायचंय का? अगदी नामनिराळं गुपित? मग इथे लिहा.... https://t.co/HJVGF5N7b6"
349,Pete Francis,2022-02-04 13:50:52+00:00,Cardiff,Regional Product Sales Manager for the South West & Wales at Keyloop. #FutureMotiveTechnology #LEADers
350,Rainer Kask,2014-06-15 15:43:43+00:00,,
351,MANISH S N,2010-05-22 20:09:55+00:00,,
352,Vignesh K,2020-05-28 19:23:17+00:00,"Mumbai, India","20. I love web development, languages and sports. https://t.co/DL0sxFW7M9"
353,Merchant,2015-12-24 03:04:46+00:00,"Byron Bay, New South Wales",
354,kamlesh patel🇮🇳,2011-06-26 05:52:31+00:00,"Botad, India","Vice President of BJP botad city,Jt. secratary of all india papad product manufacturers,snacks foods manufacturers."
355,Ved Anand,2018-01-02 10:04:40+00:00,"Siliguri, India",Making In India. Alumni - SFS Jasidih (Francerian- Red House) Ex- Allenite. Alumni - IOP Jalpaiguri. Pharmacist. News & Tech Junkie.
356,EmpreEdu,2022-07-10 02:51:00+00:00,Brasil,Paixão por negócios 🎯 Entusiasta das startups 🚀 Brainstormer 💡 Caçador de Ecossistemas ⚙️ Observador 👀
357,Shreesha,2015-11-14 13:50:42+00:00,"Bengaluru, India","Building a new version of Travelling homes :)
Baking a best seller newyork cheese cake 🍰
Not your regular human 👻"
358,Clifford Lobo,2009-08-12 17:36:52+00:00,"Mumbai, India","Marketing & Sales Specialist , Avid Sports fan ,  Avid Reader & Foodie , Travel Enthusiast , Events bakground!"
359,Paulo Dos Passos,2009-03-21 00:04:44+00:00,Portugal,Motion Graphics and Filmmaking @rtppt
360,Sentidos design - Indalecio Sabbioni,2009-09-25 16:04:27+00:00,"Saladillo, pciaBsAs, Argentina","#IndustrialDesigner. FADU, UBA. 🇦🇷 | Useful product design | @Roden_bikes #OpenSource #bicycle #innovation | #Helicopter #design for @Cicare_sa"
361,Kundaiiii,2017-12-03 12:51:37+00:00,,
362,c.ronica,2019-09-20 15:20:33+00:00,,always late but worth the wait
363,Partnershipland,2020-09-18 01:54:07+00:00,"New York, USA",
364,Andrew Armitage,2008-12-18 12:55:05+00:00,The Internet,"Founder @adigital_uk, a multi-award winning digital agency. Author of Holistic Website Planning, host of The Clientside Podcast and MTBer"
365,Matt Bonde,2022-04-11 19:47:44+00:00,"Philadelphia, PA",Product @ Close
366,Siddhant Savant,2011-07-14 14:57:20+00:00,,Learning. Growing. Evolving. Wired weird !
367,B.J. Letourneau,2010-05-19 03:46:40+00:00,"Shakopee, MN",-2 Corinthians 5:7-
368,Daniel Hutchins | Google Ads for Ecommerce,2019-07-07 05:11:49+00:00,,"Dan. Likes mountian bikes, metal, Overwatch & digital marketing (Facebook & Google Ads) 🇦🇺"
369,Richard Bown,2021-12-29 15:34:55+00:00,"Amsterdam, NL",Independent software consultant. I help companies organise for simplicity in DevOps. Architecture. Strategy. Some DIY. Occasional ⚓️ ⛵️ 🏃🏻‍🎶 🎬 🇬🇧 in 🇳🇱
370,Kenan Türkyılmaz,2008-11-28 11:30:24+00:00,Istanbul,
371,SMSjet,2022-07-12 04:50:12+00:00,"Melbourne, Australia","📱The most affordable and slickest way to send SMS.

80% cheaper with unrivalled support, welcome to https://t.co/pPXnsXzQhO
Signup and receive 100 free credits 🎫"
372,clixifix® Customer Care software.👷🏻‍♂️👷🏼‍♀️📱,2013-06-06 16:00:00+00:00,"Durham, UK, anywhere with web!",clixifix® is one of the fastest-growing proptech and contech platforms in the UK. We’re making customer care easier  🏗🏘🏢👷🏻‍♂️📱🥇👷🏼‍♀️📊
373,Utku Ülkü,2021-09-15 08:47:26+00:00,"Tallinn, Estonia",
374,OAppS,2020-03-12 04:11:50+00:00,,"OAppS
Outstanding Applications"
375,Kian Krauss,2022-01-19 07:59:54+00:00,,"Working student - interested in: HR/KM, blockchain, connecting with others, investment knowledge and any connecting topics - learning enthusiast"
376,Brian Alaway,2008-03-27 21:11:32+00:00,"Tampa, Florida","Follow me for marketing, tech tips, good deals and free stuff. Plus website performance and security from a design perspective. https://t.co/Lsub1jy3qN"
377,schonbachler,2012-07-31 17:45:41+00:00,"Baar, Zug, Switzerland",Schonbachler
378,Joshua A. Norrid,2010-06-07 14:43:58+00:00,Earth,American Carbon-Based Unit
379,p,2014-03-24 23:03:40+00:00,"Haarlem, Nederland",
380,Barkley HQ,2018-10-24 15:19:45+00:00,Trusted Worldwide!,"The best software for pet groomers! 🐶😺🐶😺
Contact: P. (416) 678-8171 | E. info@barkleyhq.com"
381,Ícaro Iasbeck,2010-11-27 17:00:52+00:00,,Founder of DDM Company. Increase your revenue growth by learning your company's data. #revenuegrowth
382,Hyper Android,2010-06-06 10:44:10+00:00,Valencia,"Waiting for society to collapse. Can’t decide between a cyberpunk or a solarpunk future. Either way, we are doomed haha NB."
383,Arun verma,2022-07-07 18:13:45+00:00,India,"I’m a full-stack developer. My key skills are Node.js, Nest.js, React, Next.js, Vue.js, Angular, PHP, Laravel, MySQL, MongoDB, Bootstrap, TailwindCSS, API etc."
384,Sweepsify 🎈,2022-01-19 17:11:10+00:00,United States,"Sweepstakes Company | Contest Administration | Giveaway Marketing | 🎈 Tweets on CX, CRO, audiences, branding. ✨ Building Sweepsify to $💎. https://t.co/vqebbTgMLF"
385,Erich Duft,2022-05-22 17:27:43+00:00,,
386,Lime Go,2013-03-12 16:29:07+00:00,Soon all over Europe,"The most user-friendly CRM & the smartest sales tool, filled with data to help you sell smarter - and therefore easier."
387,KAY Plumbing & Const,2016-08-07 06:31:08+00:00,"Woodland Hills, Los Angeles","#Commercial #Plumbing,#Emergency #repairs since 1984. CA Lic #659378 B & C-36. #Pumps, #Valves #oversizedundergroundpipes, #LeakRepairs #Services.🔧🛠️🚰🇺🇸"
388,Zapier Expert,2021-09-21 12:51:04+00:00,,"I am a Professional Zapier Expert with 3 years experience.
#Level 2 Seller"
389,Andy,2020-09-12 15:49:46+00:00,Israel,"Data, Intelligence, Poker, Bogle+Buffett, 
 #Startup #Leads #Infosec #OSINT #datalead_ai"
390,Jerry Shen,2022-06-23 06:17:20+00:00,,just a normal guy
391,Vincent Soyez,2018-06-28 23:07:31+00:00,"Laval, Québec","Mostly a sports guy | Work today for your dream of yesterday, for a better tomorrow #Bitcoin"
392,Akileish R.,2022-07-04 12:15:13+00:00,,Content Writer @KlentyHQ
393,Lora Willis,2022-01-29 04:19:03+00:00,Vancouver,I'm a #DigitalMarketing professional with a focus on #VideoMarketing and #MarketingAutomation.
394,Guillaume Buttiens,2017-11-27 11:50:33+00:00,,
395,Jocelyn Reyes Midghall (she/her) 🇨🇦 🇵🇭,2008-06-15 12:38:09+00:00,"Toronto, Ontario Canada","Education advocate with an entrepreneurial spirit,mom to 2 kids, volunteer, very passionate about helping people achieve their goals. Tweets are my own. She/her"
396,bhanuvij,2021-05-09 07:55:15+00:00,,no bio
397,UNDFND,2016-07-10 19:21:18+00:00,"Dallas, TX","Photo, video, music, real estate, & urban development."
398,Ashley B.,2018-06-24 17:23:01+00:00,"Mesa, AZ","Wife and mother. Loves reading📚, drinking coffee☕, and seeing what's going on in the world. Homeschool mom📝, Usborne Independent Consultant & data analyst."
399,F. T. @,2021-08-03 06:57:57+00:00,,rubySBlyakmalTI
400,Charlotte Social 360 LLC. (CS360),2010-08-13 15:48:26+00:00,"Charlotte, NC USA | UK | INDIA","Charlotte Social 360 (CS360)  Websites, Business, Mobile Apps  
 & Games Software Dev, SEO, SMO, PPC, ASO, AI, Digital Marketing Services Agency: https://t.co/lFTcivFd8z"
401,Custom.App,2022-06-29 03:58:18+00:00,Internet,Mobile App Marketplace
402,StartUpEncyclopedia,2022-05-19 04:36:20+00:00,"Mountain View, CA",
