,User,Time,Location,Description
608,Twisted ,2009-08-20 00:05:10+00:00,,"🎓👔🚴🏼🏃🏻📖
📱💻🛫🏨🌅
🔛❤️🩺🏥
🚦🚥🚨"
609,Michael Berger,2022-09-10 01:37:19+00:00,,
610,Carla Cassanello,2008-12-05 17:44:26+00:00,"Asuncion, Paraguay","La realidad es que el vaso siempre esta medio lleno. Mamá, autista y amante del verano. Orgullosamente parte de @feiparpy y @MQCpy"
611,Jonathan Pacheco,2011-06-22 21:56:02+00:00,,
612,Valon Canhasi,2009-06-03 23:12:28+00:00,"Prishtina, Kosovo",Founder @Hallakate 🇽🇰 🇦🇱 | Podcast Host @3go_trego | Co-Founder @KeiretsuSEE |  I'do #Digital #Media #MarTech | #IVLP @StateIVLP Alumni 🇺🇸
613,Nexus Headhunting Limited,2022-07-09 22:20:31+00:00,,Your go-to recruitment and consulting partner that find you the right talent for your company.
614,estahistoriadejonnyfuracao,2022-04-28 00:02:14+00:00,,"Soça de iphone, moro no leblon, gosto de lacrar. E crio verdade para satisfazer meus interesses ideológicos. A lógica e bom senso, isso é o de menos."
615,Sales Sciences,2022-09-07 22:18:28+00:00,,"Eu ajudo a transformar a vida das pessoas através das vendas, assim como a minha foi transformada."
616,James,2017-02-05 15:29:59+00:00,Mahwah NJ,"former guy, current dude"
617,Decuple Tech,2019-06-07 16:52:52+00:00,NAIROBI,We help brands leverage technology to grow sustainably both locally and internationally. #Ecommerce #Blockchain #Web3 #DigitaMarketing| Founder @Lydiakm_2000
618,Jalal Hannan,2022-05-03 14:47:46+00:00,,Solutions Architect @ HUMAN Protocol
619,Philippe Barbosa,2008-11-16 02:49:14+00:00,Paris,"Vidéaste & photographe freelance le jour, guitariste et metalhead le reste du temps 🤘"
620,"Joseph S. Kahn, President of Hum JAM 🔥",2007-09-03 17:04:47+00:00,Subscribe to my VIP LIST!👇,Digital Marketing Strategist and SEO Growth Specialist with over 25 Years of Experience and share successful Harmonic RANKING Strategies here: https://t.co/2EYeVV6pkg
621,Juliano Tannous,2021-10-04 22:33:21+00:00,,
622,Ortto,2021-11-12 05:43:07+00:00,"Sydney, Australia","What do you get when you combine customer data, marketing automation and analytics, then supercharge them with AI? 👉 Ortto. Need help? help@ortto.com"
623,ROI Cowboy,2020-12-30 09:59:01+00:00,,"""You only need to get rich once"" I Tweets are opinions only."
624,Dr. Marco A Valenzo,2010-02-20 20:14:37+00:00,"Morelia, Michoacán,México","Dr. en C. en Negocios Internacionales, miembro (SNI). Nivel 1. Áreas de interés: Competitividad, Supply Chain y Empresa Familiar."
625,CommerceConnect,2022-09-02 14:32:37+00:00,Pittsburgh,"CommerceConnect is an e-commerce and inbound marketing company. We design, develop & integrate solutions that enable businesses to connect with their customers."
626,Xavier Valentino,2022-09-03 08:25:22+00:00,,Highlevel Expert
627,Saurav,2015-11-13 08:28:48+00:00,"Bengaluru, India",Researcher | Engineering @Datacore | Community @fnplusofficial | Technophile |
628,OLEKSIY KURYLIAK,2009-07-13 00:07:49+00:00,,🇺🇦 Digital Strategist & #Startups Advisor. Founder of @RioksMarketing. #StandWithUkraine
629,Oscar Campos,2021-12-21 04:26:36+00:00,,
630,Lee James Carey,2009-12-08 18:49:36+00:00,"Ottawa, Canada","LEE -Leading Edge Entrepreneur
Credentials
10,000 hrs tech design
20,000 hrs Ops management
30,000 hrs PM
Approaching 10,000 hrs B2B sales management"
631,Bossut Mathilde,2019-03-07 11:04:45+00:00,Tournai,Chargée de projets @ Wap’s Hub #Idéation #Innovation #Créativité
632,Maksim Chepel,2022-09-01 09:21:31+00:00,,
633,Nikkie,2022-06-29 13:41:17+00:00,"Nottingham, England",Just beginning a career in PR ✨ personal: @kikithorpedo
634,The Crumbs Project,2011-04-15 08:30:07+00:00,"Bournemouth, Dorset","Disability training charity supporting adults with learning disabilities or mental health issues to learn catering, employment and independence skills."
635,Riley Hennigh,2020-01-13 21:00:24+00:00,🇺🇸,"Building https://t.co/Oul4krJJec for Webflow agencies

@_buildspace / spectreseek"
636,Roberto,2020-03-11 02:41:04+00:00,,
637,3Studio,2022-08-21 13:44:00+00:00,France,Web / Growth Hacking / Sales
638,AlterEkho,2009-04-22 07:21:31+00:00,,
639,Harold Ader,2022-02-16 11:43:37+00:00,,
640,Ramón Vergara,2022-08-26 17:40:53+00:00,Chile,"En viaje al mundo digital 🌐

Creo contenido para apoyar a pymes.

🚀 @tech_tours_  
🏗️ @Farawayhub"
641,AL_CryptoTrader,2021-04-28 09:54:00+00:00,,Crypto Market - Graphical and Fundamental Analysis #Doge #Tesla #Shibainu #BTC #Thothemoon #cryptocurrency  #Babydogecoin  #NFT #AmeerUnit
642,MUJAHID GIRMA TERFA🇪🇹,2022-08-27 13:44:28+00:00,,NOTHING IS IMPOSSIBLE FOR ALLAAH
643,Sales Circle,2022-08-27 14:43:47+00:00,,der B2B Sales & Business Podcast
644,Joshua Rivera,2009-04-10 13:12:44+00:00,"Union, NJ",Newbie Investor | SMB |Owner of Car Wash| Life Long Learner| https://t.co/ORtqztDowC
645,Shawn Simon,2021-11-07 23:16:03+00:00,,
646,Joe Karen,2022-02-11 05:08:45+00:00,"Pineville, NC, USA",You don't need much experience in the tech field to have a good tech idea. Joe. k - A tech journalist covering trends in technology as they relate to business.
647,Content & Copy writer| Pooja Uniyal |,2020-04-04 10:54:25+00:00,"Bengaluru, India","All about Writing, Freelancing, Content Marketing and life.  
Instagram- https://t.co/V3K8MZfPmk…"
648,Paula Bolton,2017-09-24 22:15:33+00:00,"England, United Kingdom",Director #entrepreneur #NLP #BusinessCoach
649,involve.ai,2015-01-08 05:17:23+00:00,Los Angeles California,"👩🏻‍💻 Early Warning System
👋 Goodbye Churn, Hello Growth
🚀 Create a customer-centric world through data"
650,Whalebone,2016-05-30 22:07:26+00:00,"Brno, Czech republic",We provide millions of everyday internet users unyielding protection without the need for them to download anything.
651,Voltine ,2017-11-19 23:22:41+00:00,"New York, NY",the don
652,Content & Concept,2022-02-28 10:03:15+00:00,"Chernobyl, Ukraine","Design agency:
We create commercial content for sites and other corporate publications.
Located at The Vladimir Lenin Nuclear Power Plant
Pripyat, 07270 Ukraine"
653,Transrepúdio,2009-04-22 14:47:50+00:00,Brasil,
654,Neptik,2022-08-22 12:42:10+00:00,,Your B2B Lead Generation Partner - Dedicated to Fuelling Sales Pipelines!
655,Dunk Media,2022-08-03 11:37:36+00:00,Zürich Switzerland,We slam DUNK your targeted e-commerce clients
656,hthompson58@gmail.com,2010-10-22 12:03:54+00:00,Cape Town (Work remotely),"Head of Marketing, Senior VP of Marketing, B2B Marketer; Passionate about Marketing, Martech, Growth Marketing, fitness, coffee, my family. :)"
657,Marcin Sulich,2015-05-01 11:12:00+00:00,,
658,Michael Williams | Atlanta Real Estate Agent,2022-06-18 22:15:51+00:00,"Atlanta, GA",Metro Atlanta REALTOR® | Keller Williams Intown Atlanta | (404) 654-0929 | WilliamsMichael@kw.com
659,Sebastiaan Douma,2022-08-22 10:59:10+00:00,,
660,M H,2011-08-15 06:33:32+00:00,Helsinki,The opinions expressed are my own and may be subject to change at any time. The comments should not be construed as a recommendation.
661,Tony 🇦🇷,2014-10-16 16:49:43+00:00,Buenos Aires,"De la cuña hasta el cajon, te voy a seguir"
662,Steve Karr,2009-03-11 04:55:57+00:00,Just ahead on the left,"A sardonic realist & former Internet Technologies SME

A '90s era .com guy - Web Developer & Entrepreneur"
663,Avraham merchavia,2018-11-07 06:25:20+00:00,ישראל,יזם.
664,SmartSender.io,2018-08-16 01:15:58+00:00,"Tallinn, Estonia",We Automate Marketing
665,Antje Köppen,2008-11-25 11:47:28+00:00,"Berlin, Deutschland",
666,user,2010-06-30 18:09:08+00:00,"Accra, Ghana",On a constant mission to grow. #Tech × #PM
667,YourMindinBloom,2013-11-04 03:56:28+00:00,Planet Earth,https://t.co/T7VzKsd7dU
668,juan ignacio ugarte,2009-05-26 02:25:52+00:00,,"No levantes la voz, mejora tu argumento"
669,Phil Young,2012-02-02 03:05:05+00:00,,"Self-made Thousandaire.  Professional Amateur.  Admirer of Fine Pelts. I have Warning Track Power. Veteran, 18C30W3. De Oppresso Liber."
670,brê VAI VER O 5SOS,2013-01-13 19:53:57+00:00,jb follow's. (she/her),"you are all the colors in one, at full brightness."
671,carlos guerreiro,2009-06-30 19:23:00+00:00,Lisbon,"Business Networker, helping connecting the dots... enthusiast about so many things... living by heart... #becausedatamatters #dataquality #nanoinfluencer"
672,Marcos Muíño,2009-04-26 19:31:59+00:00,A Coruña,Aroa & Icía dad. CoFounder at https://t.co/4NWmI67ZZv 🤖 & https://t.co/n42d3cEJZb 👨‍💻 Adventure race addict 🧭🏃🚵🚣🧗
673,YepCode,2021-05-10 20:42:41+00:00,"A Coruña, Spain","The enterprise-ready #automation and #integration toolkit based on #JavaScript & #Python

⚡️ Connect your services and #APIs in a flash 👉🏻 https://t.co/KYmW1nF4KL"
674,Emil Samuel,2017-11-17 13:40:18+00:00,,
675,Gerty Tsinnie,2020-03-31 16:24:43+00:00,"Arizona, USA",🚀 Tech Leader & Program Manager | 🛡️ Cybersecurity | 💼 Owner @917Solutions | Driving Digital Transformation 🌐 | Innovator & Problem Solver 🔧
676,creativethrift2,2012-12-17 04:09:00+00:00,"Nevada, USA",being creative is a way to stay thrifty. Love spaghetti and air hockey.  2022 here we go!
677,#NejTillNATO!!,2011-11-10 23:36:14+00:00,"Malmö, Sverige","Colocolino de ♥.
Född i Santiago de Chile men mitt hjärta är 100% skåning. Assisterande tränare U19 - Ariana FC."
678,Karan,2021-01-20 02:12:51+00:00,United States,"Finance Strategy | Tech enthusiast - Searching for trends in Cap Mkts/Tech, seamless product design/user experience and excited for ESG to mainstream"
679,Marcin Karnowski,2009-06-24 02:50:15+00:00,,
680,Halan Burrola | Estrategia digital,2021-10-24 00:11:16+00:00,"Hermosillo, Sonora",Apasionado por la vida; hago Mkt digital para marcas / Inbound Marketing y B2b /Estrategia de Marketing /
681,UEY,2010-04-19 09:47:35+00:00,,
682,Ines,2021-03-20 18:35:04+00:00,"Lisbon, Portugal",
683,M&A Champ,2022-08-08 16:19:23+00:00,,Follow to learn about technology through the lens of M&A. We cover acquisitions past and present. No deal too big or too small. DM for us to Tweet your deal!
684,freightmonk,2022-06-30 18:21:16+00:00,India,"Logistics Professional | Business Owner, #Solopreneur | Interests in #Supplychains #Trade, Science, Business & Economics | Recovering political junkie"
685,Unnamed93,2014-07-10 20:50:21+00:00,,#Bitcoin ⚡
686,Alan C.,2022-08-11 10:35:10+00:00,,Cyanview team member
687,Derek Murrell,2020-06-02 15:53:58+00:00,"Texas, USA",🇺🇸 Marine Vet | Former LEO | #BusinessOwner | Father | Husband | love real estate investing and finance | #Bankonomics
688,Day Translations,2009-02-07 03:28:50+00:00,"New York, NY","#Translations #Interpreting #LocalizationServices
We ❤️ languages! 
👍 Get 5% off now! → https://t.co/1ijne1jY0h or 1-800-969-6853"
689,"Ginja.zk(🌸,🌿)(💙,🧡)(L3,❄️)| Suiswap⚪⚫",2014-05-26 15:28:04+00:00,,"https://t.co/r17huF9GC5 Poseidon in @suiecosystem
https://t.co/SZ97Zs7arN
#SuiGlobalRider @SuiNSdapp Fam 💜 @0xHashstack Contributor
#oktchain #oktcagent"
690,Mariam Khonelidze,2022-08-10 09:58:59+00:00,Georgia,
691,Victor Krusenstrahle,2020-08-19 21:15:16+00:00,,
692,T N,2010-05-25 14:39:26+00:00,東京都,"弁護士なう。
新第63期"
693,...,2011-12-08 05:16:10+00:00,"Phoenix, AZ",...
694,PARCHUN-E,2021-08-08 08:48:57+00:00,"Dilshad Garden, Delhi","""PARCHUN-E"" is the brand name of Clairene Enterprises in the field of e-commerce marketplace with over 1000+ product under 50+ categories."
695,Esther 🥑,2019-09-08 09:55:39+00:00,United Kingdom,Developer Advocate @directus ⚡️OSS @chakra_ui 💼 Building @thefreelancehq
696,Christian Engdahl,2009-04-06 18:33:11+00:00,"Halmstad, Sweden",
697,Ben 🌻🍉,2022-02-24 20:18:43+00:00,"Langley, British Columbia","And you will know the truth, and the truth will set you free - John 8:32. Hiding under Putin’s desk, waiting to strike. #Fella"
698,Basil Sayeedi,2010-07-12 09:41:43+00:00,"Barka, Oman",live & let live.. Respect humanity
699,M-LFC,2017-06-21 22:23:11+00:00,,#LFC❤️
700,Martin Hanousek🇨🇿🇪🇺🇺🇦,2015-03-30 13:07:55+00:00,Czech Republic,#NAFO
701,Petr Akachuku,2014-10-21 23:13:07+00:00,lagos state Nigeria,"Self employed. Deals on cosmetics and other beauty care products. Love GOD, Love Israel!"
702,mpdelite,2008-08-01 21:43:45+00:00,"Durham, NC","Marketing & Communications Leader. Interested in art, music, literature, basketball, design and fancy cocktails."
703,d'Orléans McCormick-Livingstone,2020-06-11 09:26:14+00:00,,"i worked for CIA

Judah son of Jesus
.
.
.
.
Capitienne Valóis d'Orléans"
704,Willzzzz,2022-08-03 10:33:43+00:00,,
705,Eli Zehavi,2015-09-30 18:56:51+00:00,,"I'm passionate about open-source, education, privacy & solving real world problems"
706,Carolina Ruiz,2022-01-17 01:20:58+00:00,,🎯Automation Expert🚀| Official partner on Make (Integromat)| Zapier | E-commerce | Marketing Automation | CRM
707,Artur Decker,2020-04-20 20:06:37+00:00,,Thats totally true.
708,Filbert Jose,2022-06-16 19:41:25+00:00,,
709,Guy Fallows,2016-01-22 08:36:39+00:00,"Surbiton, Surrey, England","Husband, father and would be rock legend. Principal of @fallows_co accountants and business advisors celebrating 26 years in business in 2023."
710,gourav manchanda,2011-10-15 09:23:23+00:00,"Chandigarh, India",Product Manager | Building @crove_app 🚀
711,Freddie Argent,2022-04-14 15:04:05+00:00,,Helping @Cledara help companies with their SaaS stacks. Sharing data for you to enjoy🚀
712,Nikesh,2009-04-14 11:57:45+00:00,London,Helping build @cledara
713,🗽黑咖啡 Mr.Espresso☕️,2016-01-28 21:16:48+00:00,Australia,A critical thinker with an ever-curious free mind.
714,Harish,2020-03-23 15:48:40+00:00,,Software engineer and a Gopher
715,Marketing4eCommerce,2012-08-31 07:45:39+00:00,"España,México,Colombia,Chile","Hablamos de #Marketing, #eCommerce, startups, eventos y ¡mucho más! 🚀

🇲🇽 @mkt4eCommerceMX 
🇨🇴 @mkt4eCommerceCO
🇨🇱 @mkt4eCommerceCL

⭐We Are @VIKO"
716,James Hanni,2011-05-08 04:12:55+00:00,,
717,Ede Radnai,2022-03-26 13:58:22+00:00,"São Paulo, Brasil","Objetivo do dia: Ser uma pessoa melhor, não perfeito, apenas melhor que ontem!"
718,LimitworX Digital,2022-07-30 09:14:11+00:00,,Revolutionize Your Online Business.  📍Based in Johannesburg  📱Social Media Marketing  📧 Email Marketing  🚀 Google Analytics & SEO 🖥 Web Design
719,Nicolas Martin,2017-03-10 07:48:43+00:00,"Paris, France","🤖  PRM & Automation Specialist chez @Simplebo_Team 
💡  Expert en #CRM #Nurturing #SEO 
🏅 @HubSpot partner certified"
720,Hoy Vende Más,2022-07-22 04:54:12+00:00,México,"Somos una agencia certificada en Pipedrive para la implementacion, capacitación, migración y reorganización de la plataforma, los mejores en implementaciones."
721,takuma,2018-06-05 08:39:55+00:00,福島 会津若松市,
722,Bruno Santana,2012-07-25 14:22:49+00:00,São Paulo,"Engraçado, Antipático, Arrogante, Alegre, Fiel."
723,Humberto Sarmiento G,2010-03-31 19:29:09+00:00,"Bogotá, D.C., Colombia","Sigo tendencias #PropTech #FinTech #HHRR 

🚀 Mezcla extraña entre Consultor de Vivienda y Soluciones en #RRHH. Buscando #SaludFinanciera

Opiniones personales."
724,Filip Baturan,2019-01-09 02:30:18+00:00,,"Interested in tech-based flourishing of The Human Colossus along with the importance of stories and how they are told.
Minimalism maximalist 🧡"
725,Cristopher López E.,2009-07-15 17:14:14+00:00,"Santiago, Chile",Audio Engineer / Producer / SCL
726,Surfe,2020-05-07 12:54:46+00:00,Paris,"Surfe makes your CRM accessible from anywhere, allowing you to sell everywhere 🏄🏼‍♂️"
727,Anastasiia Mashchuk,2022-07-25 13:27:36+00:00,Ukraine,"Helping companies educate their teams quickly through bite-sized learning 

Work at @get_headway 

#bitesize, #corporatelearning, and #EdTech"
728,Janet Lee,2022-07-25 10:49:29+00:00,,Passionate about Business Software
729,Jenna Fordham,2022-01-05 06:17:54+00:00,,
730,Brooks Derrick,2009-03-27 20:09:51+00:00,"Fountain Inn, SC","husband | father | injury lawyer at https://t.co/vEPTN6WhjZ | cook | geek | host of a lawyer, his friends, and food 👇🏽"
731,Jorge Ramirez,2018-08-22 14:03:58+00:00,"Distrito Federal, México",
732,Siddhesh ಸಿದ್ಧೇಶ್ Shinde ಶಿಂಧೆ,2015-10-12 06:56:23+00:00,,"स्वताला शोधण्याचा प्रवास, हेच माझे जीवन.. 
काही सांगायचंय का? अगदी नामनिराळं गुपित? मग इथे लिहा.... https://t.co/Q7NGpFLinM"
733,Pete Francis,2022-02-04 13:50:52+00:00,Cardiff,Regional Sales Manager for the South West & Wales at Keyloop. #FutureMotiveTechnology #OneKeyloop
734,Rainer Kask,2014-06-15 15:43:43+00:00,,
735,MANISH S N,2010-05-22 20:09:55+00:00,,
736,Vignesh K,2020-05-28 19:23:17+00:00,"Mumbai, India","20. I love web development, languages and sports. https://t.co/DL0sxFW7M9"
737,IoTebikes,2015-12-24 03:04:46+00:00,"Byron Bay, New South Wales",
738,kamlesh patel🇮🇳,2011-06-26 05:52:31+00:00,"Botad, India","Vice President of BJP botad city,Jt. secratary of all india papad product manufacturers,snacks foods manufacturers."
739,Ved Anand,2018-01-02 10:04:40+00:00,"Siliguri, India",Making In India. Alumni - SFS Jasidih (Francerian- Red House) Ex- Allenite. Alumni - IOP Jalpaiguri. Pharmacist. News & Tech Junkie.
740,EmpreEdu,2022-07-10 02:51:00+00:00,Brasil,Paixão por negócios 🎯 Entusiasta das startups 🚀 Brainstormer 💡 Caçador de Ecossistemas ⚙️ Observador 👀
741,Shreesha,2015-11-14 13:50:42+00:00,"Bengaluru, India","Building a new version of Travelling homes :)
Baking a best seller newyork cheese cake 🍰
Not your regular human 👻"
742,Clifford Lobo,2009-08-12 17:36:52+00:00,"Mumbai, India","Marketing & Sales Specialist , Avid Sports fan ,  Avid Reader & Foodie , Travel Enthusiast , Events bakground!"
743,Paulo Dos Passos,2009-03-21 00:04:44+00:00,Portugal,Motion Graphics and Filmmaking @rtppt
744,Sentidos design - Indalecio Sabbioni,2009-09-25 16:04:27+00:00,"Saladillo, pciaBsAs, Argentina","#IndustrialDesigner. FADU, UBA. 🇦🇷 | Useful product design | @Roden_bikes #OpenSource #bicycle #innovation | #Helicopter #design for @Cicare_sa"
745,Kundaiiii,2017-12-03 12:51:37+00:00,,
746,c.ronica,2019-09-20 15:20:33+00:00,,always late but worth the wait
747,Partnershipland,2020-09-18 01:54:07+00:00,"New York, USA",
748,Andrew Armitage,2008-12-18 12:55:05+00:00,The Internet,"Founder @adigital_uk, a multi-award winning digital agency. Author of Holistic Website Planning, host of The Clientside Podcast and MTBer"
749,Matt Bonde,2022-04-11 19:47:44+00:00,"Philadelphia, PA",Product @ Close
750,Siddhant Savant,2011-07-14 14:57:20+00:00,,Learning. Growing. Evolving. Wired weird !
751,B.J. Letourneau,2010-05-19 03:46:40+00:00,"Shakopee, MN",-2 Corinthians 5:7-
752,Richard Bown,2021-12-29 15:34:55+00:00,"Amsterdam, NL","On software architecture, delivery and development. Lovin' Legacy podcast. Software Delivery Club Newsletter. 🇬🇧 in 🇳🇱"
753,Kenan Türkyılmaz,2008-11-28 11:30:24+00:00,Istanbul,
754,SMSjet,2022-07-12 04:50:12+00:00,"Melbourne, Australia","📱The most affordable and slickest way to send SMS.

80% cheaper with unrivalled support, welcome to https://t.co/pPXnsXzQhO
Signup and receive 100 free credits 🎫"
755,clixifix® Customer Care software.👷🏻‍♂️👷🏼‍♀️📱,2013-06-06 16:00:00+00:00,"Durham, UK, anywhere with web!",clixifix® is one of the fastest-growing proptech and contech platforms in the UK. We’re making customer care easier  🏗🏘🏢👷🏻‍♂️📱🥇👷🏼‍♀️📊
756,Utku Ülkü,2021-09-15 08:47:26+00:00,"Rotterdam, Nederland",
757,OAppS,2020-03-12 04:11:50+00:00,,"OAppS
Outstanding Applications"
758,Kian Krauss,2022-01-19 07:59:54+00:00,,PreSales @diconium
759,Brian Alaway,2008-03-27 21:11:32+00:00,"Tampa, Florida","Follow me for marketing, tech tips, good deals and free stuff. Plus website performance and security from a design perspective. https://t.co/Lsub1jy3qN"
760,schonbachler,2012-07-31 17:45:41+00:00,"Baar, Zug, Switzerland",Schonbachler
761,p,2014-03-24 23:03:40+00:00,"Haarlem, Nederland",
762,Barkley HQ,2018-10-24 15:19:45+00:00,Trusted Worldwide!,"The best software for pet groomers! 🐶😺🐶😺
Contact: P. (416) 678-8171 | E. info@barkleyhq.com"
763,Ícaro Iasbeck,2010-11-27 17:00:52+00:00,,"Revenue Operations & Growth Consultant, Entrepreneur, Mentor."
764,Hyper Android,2010-06-06 10:44:10+00:00,Valencia,"Waiting for society to collapse. Can’t decide between a cyberpunk or a solarpunk future. Either way, we are doomed haha NB."
765,Arun verma,2022-07-07 18:13:45+00:00,India,"I am a full-stack developer. My key skills are Node.js, React, Vue.js,  Angular, PHP, Python, Bootstrap, ChatGPT, LangChain, Pinecone API."
766,Sweepsify 🎈,2022-01-19 17:11:10+00:00,United States,"Sweepstakes Company | Contest Administration | Giveaway Marketing | 🎈 Tweets on CX, CRO, audiences, branding. ✨ Building Sweepsify to $💎."
767,Erich Duft,2022-05-22 17:27:43+00:00,,
768,Lime Go,2013-03-12 16:29:07+00:00,Soon all over Europe,"The most user-friendly CRM & the smartest sales tool, filled with data to help you sell smarter - and therefore easier."
769,KAY Plumbing & Const,2016-08-07 06:31:08+00:00,"Woodland Hills, Los Angeles","#Commercial #Plumbing,#Emergency #repairs since 1984. CA Lic #659378 B & C-36. #Pumps, #Valves #oversizedundergroundpipes, #LeakRepairs #Services.🔧🛠️🚰🇺🇸"
770,Zapier Expert,2021-09-21 12:51:04+00:00,Bangladesh,Pro @Zapier & @Make_HQ (formerly Integromat) expert with 3 yrs exp. Level 2 seller. Helping businesses automate workflow & streamline ops
771,Andy,2020-09-12 15:49:46+00:00,Israel,"Data, Intelligence, Poker, Bogle+Buffett, 
 #Startup #Leads #Infosec #OSINT #datalead_ai"
772,Vincent Soyez,2018-06-28 23:07:31+00:00,"Laval, Québec","Mostly a sports guy #CFMTL | Work today for your dream of yesterday, for a better tomorrow #Bitcoin"
773,Lora Willis,2022-01-29 04:19:03+00:00,Vancouver,I'm a #DigitalMarketing professional with a focus on #VideoMarketing and #MarketingAutomation.
774,Guillaume Buttiens,2017-11-27 11:50:33+00:00,,
775,Jocelyn Reyes Midghall (she/her) 🇨🇦 🇵🇭,2008-06-15 12:38:09+00:00,"Toronto, Ontario Canada","Education advocate with an entrepreneurial spirit,mom to 2 kids, volunteer, very passionate about helping people achieve their goals. Tweets are my own. She/her"
776,bhanuvij,2021-05-09 07:55:15+00:00,,no bio
777,Chris,2016-07-10 19:21:18+00:00,"Dallas, TX","Photo, video, music, real estate, & urban development."
778,Ashley 📚 Book Reviewer | Blogger,2018-06-24 17:23:01+00:00,"Mesa, AZ","Wife and mother. Loves reading📚, drinking coffee☕, and seeing what's going on in the world. Homeschool mom📝 & data analyst."
779,F. T. @,2021-08-03 06:57:57+00:00,,rubySBlyakmalTI
780,Charlotte Social 360 LLC. (CS360),2010-08-13 15:48:26+00:00,"Charlotte, NC USA | SA ! INDIA","Charlotte Social 360 (CS360) - A nearshore Business, Mobile Apps, Software Development and SEO, PPC, SMO, ASO  Digital Marketing Services Agency ➤https://t.co/lFTcivFd8z"
781,Custom.App,2022-06-29 03:58:18+00:00,Internet,Mobile App Marketplace
782,StartUpEncyclopedia,2022-05-19 04:36:20+00:00,"Mountain View, CA",
783,梶原部長｜東京からつくばに移住🥎週末は野球,2014-01-14 00:02:02+00:00,東京 新宿区,INSIGHT LABのセールス＆マーケティング部 部長｜元データエンジニア。BI 屋18年目。#Qlik #SISENSE #GoogleLookerStudio #Tableau #snowflake #dbt #cdata #hubspot #毎週スーパー銭湯行く人 #左利き #AB型
784,biositiX,2009-03-13 01:16:42+00:00,United States - East Coast,gAmEr GuY. pErSoNaL cOmPuTeR dUh.
785,Emily Sybert,2019-11-10 17:38:13+00:00,she/her | infj,internet marketing consultant w/ email specialty 💌 @webFX #emailgeek
786,CR34T3,2015-07-12 04:07:40+00:00,,
787,Gartner Digital Markets,2017-12-12 18:56:23+00:00,"Arlington, VA - Austin, TX - Barcelona, Spain","The world’s premier source for software vendors to connect with in-market buyers, through research, reviews, and lead generation."
788,Webmaster.WTF,2022-06-26 08:38:13+00:00,,All The Best SEO And Marketing Tools For Webmasters On Earth!🛠
789,Akileish,2009-10-28 13:13:22+00:00,Chennai,Dilettante. Former mediaperson.
790,Mario Pedrero,2013-05-22 02:17:03+00:00,Mexico,Creative Science fiction writer and Sales Manager. #Superfamily #Cryptofan
791,Brantley Neal,2013-03-31 20:02:49+00:00,"Nashville, TN",say it with your chest
792,Stefano Cavaliere,2009-06-07 14:14:02+00:00,"Vicenza, Veneto","@stecava@mastodon.uno

Data Engineer and Analytics @HorsaSpa and @doolytic

#Curiosity driven

Tweets on #data, #DataEngineering, #cloud, #python, #BigData"
793,Lejonta jones,2021-10-30 20:27:42+00:00,"California, USA",Down to earth
794,Martin Jenik,2015-07-25 16:13:12+00:00,,
795,Victor Le Barbier ⚡️,2018-05-22 08:49:15+00:00,"Paris, France","I've been working on a new electronic cash system that's fully peer-to-peer, with no trusted third party... #bitcoin
Head of Sales & Partnerships @StackinSat_FR"
796,Joaquin Pineda,2009-07-19 01:18:30+00:00,"Santiago, Chile","Me interesa el punto en que las historias, las tecnologías y la ciencia se cruzan."
797,Fraih Al anazi🔗,2011-06-04 17:24:34+00:00,المملكة العربية السعودية,مؤسس @hqolsa شريك مؤسس @mohlelsa
798,Tiradentes,2018-10-11 12:37:58+00:00,Worldwide ,"サメの人間の父、魚類学者、海洋科学者、神の息子、ハンサムなケニア人

Pai humano de tubarões, ictiólogo, cientista marinho, Filho de Deus, bonito queniano

🦈🦈🐟🐠🐡🦈🐙🌴🌴🙏🙏🙏🇰🇪🇰🇪"
799,Embaso,2020-05-26 09:11:21+00:00,Hannover,#sales #development #marketing #bearings #ConTech #Bau #realestate #software
800,Heni Hazbay,2008-11-20 15:43:48+00:00,"London, England",Digital marketing
801,Carlos F. Rodriguez,2009-08-21 13:20:15+00:00,Argentina,
802,Michael 🥏 McDay,2016-12-21 12:42:25+00:00,,"Fiat and Central Bank Creates The Industrial Military Complex, Bitcoin solves this...🙂"
803,Barreira Arte+Diseño,2010-06-12 08:28:31+00:00,"Valencia, España","Centro Oficial de Estudios Superiores. Titulaciones Oficiales en #diseño de Interiores, Moda, Gráfico, Animación, Videojuegos y Cine. Másteres internacionales."
804,Carlos Pedrosa Brías,2021-11-01 08:58:33+00:00,,Madrid - Manila and Manila - Madrid Real Estate
805,MWT,2015-06-30 21:23:48+00:00,North. UK,
806,Mayank jain,2012-03-11 12:34:16+00:00,"Mumbai, India",Agree with people to keep their mouth shut.
807,Bob Mitchell,2010-12-17 14:47:06+00:00,Washington D.C. ,Transformation leader. Strategist. Collaborator. Thought partner. Builder.
808,rectools,2022-04-12 08:33:06+00:00,,Research. Review. Revamp your toolbox.
809,KEFFER WUSSELL,2021-08-17 04:27:51+00:00,,
810,Baby Nengneilhing,2022-06-09 04:27:41+00:00,imphal,unipal babie 1992
811,André,2013-09-27 00:54:01+00:00,"Osasco, Brasil",Marketing | Mídia | Design
